File Name:	PMMA_CN_6mm_60Kmin_4mg_R1.txt	Version: 8.3.7.3						
Date:	02 Aug 2024							
Operator:	-							
Test ID:	PMMA_CN_6mm_4mg_60K_R1							
Sample ID:	PMMA_6mm_4mg_R1							
Sample Mass (mg):	4.0500							
Sample Cup Mass (mg):	184.4700							
End Total Mass (mg):								
Heating Rate (C/s):	1.0000							
Combuster Temperature (C):	900.0							
N2 Flow Rate (cc/min):	80.0							
O2 Flow Rate (cc/min):	20.0							
Calibration File:	Coeff.txt							
T Correction Coefficients:	0.308738730	0.013615500	0.000000000					
Time Shift (s):	10.0							
Pre-Test Comments:								
Post-Test Comments:								
Baseline Flow:	99.761							
Baseline O2:	20.276							
Instrument ID:	2700							
----------exported parameters----------
Date:	07 Okt 2024
T Onset (°C):	297.104
T Burn (°C):	417.034
Peak Temperature (°C):	386.719
Heating Rate (°C/s):	1.0101234347045651
FGC (kJ/(gK)):	6.725926549441123
HR Capacity (J/g-K):	TODO
81.5	144.783	80.056	19.998	100.363	0.013935525044868058	1.0635001507792339	1.046	899.167
82.0	145.283	80.054	19.997	100.359	0.012760659373110883	1.1409048483103745	1.053	899.151
82.5	145.818	80.054	19.997	100.353	0.013585793701356152	1.1043095458415153	1.035	899.17
83.001	146.328	80.055	19.997	100.344	0.01341057829825587	1.0547230527677185	1.045	899.191
83.501	146.854	80.054	19.997	100.339	0.012235712626498696	1.0951277502988592	1.036	899.153
84.001	147.369	80.05	19.998	100.342	0.00906084695474263	1.37153244783	1.041	899.171
84.501	147.854	80.051	19.998	100.344	0.010885981282985568	1.308937145361141	1.0	899.197
85.001	148.414	80.054	19.997	100.34	0.007711115611233055	1.5883418428922818	1.045	899.18
85.5	148.942	80.054	19.998	100.342	0.009536599670820323	1.4297377310283599	1.088	899.174
86.001	149.451	80.055	19.998	100.346	0.009361384267720041	1.4591512379545633	1.036	899.183
86.501	149.983	80.054	19.998	100.348	0.006186518595963975	1.663555935485704	1.041	899.178
87.001	150.463	80.053	19.999	100.35	0.0050116529242103525	1.7139606330168444	1.012	899.165
87.501	151.027	80.054	19.998	100.354	0.0048367872524544	1.6153653305479856	1.045	899.18
88.0	151.521	80.053	19.997	100.352	0.003662271312041554	1.6937612186840638	1.058	899.201
88.501	152.004	80.055	19.996	100.348	0.0014870559089423807	1.902174725610267	0.976	899.186
89.001	152.562	80.055	19.996	100.349	0.0033121902371888723	1.817579423141408	1.041	899.18
89.501	153.088	80.054	19.997	100.348	0.0031373245654329196	1.8049841206725488	1.084	899.218
90.001	153.577	80.054	19.997	100.348	0.005962458893677081	1.5813888182036893	1.016	899.142
90.501	154.105	80.053	19.997	100.351	0.004787593221919906	1.6817935157348303	1.017	899.182
91.001	154.612	80.052	19.998	100.351	0.005612727550165175	1.6841982132659707	1.035	899.176
91.5	155.134	80.053	19.998	100.347	0.002438211609753438	1.951594101402049	1.029	899.21
92.0	155.627	80.053	19.997	100.342	0.0032633459379951546	1.89899879893319	1.015	899.171
92.5	156.163	80.055	19.998	100.339	0.0010884802662403104	2.124403496464331	1.027	899.21
93.001	156.668	80.055	19.998	100.338	-8.67351368611935e-05	2.196817003390534	1.04	899.222
93.501	157.165	80.053	19.998	100.339	-0.0012616008086148156	2.284221700921675	1.003	899.188
94.001	157.694	80.053	19.998	100.342	0.0005635335196281233	2.0786263984528155	1.026	899.184
94.501	158.19	80.053	19.998	100.346	-0.002611332152127943	2.380031095983956	1.025	899.207
95.001	158.747	80.052	19.998	100.351	-0.002786197823883896	2.4024357935150973	1.052	899.224
95.501	159.27	80.056	19.998	100.347	-0.004961063495635187	2.5988404910462375	1.08	899.236
96.001	159.744	80.055	19.998	100.345	-0.00513592916739114	2.6862451885773786	0.998	899.187
96.5	160.291	80.054	19.998	100.342	-0.004310445107808647	2.658641076713457	1.021	899.226
97.001	160.785	80.056	19.998	100.341	-0.005485660510903045	2.71605458363966	1.04	899.186
97.501	161.291	80.054	19.997	100.341	-0.011660526182659225	3.134459281170801	1.0	899.201
98.001	161.782	80.053	19.999	100.34	-0.007835391854417395	2.7708639787019416	0.998	899.199
98.5	162.298	80.054	19.999	100.335	-0.009009907794826688	2.8162598668380205	1.008	899.179
99.0	162.821	80.052	19.998	100.331	-0.013184773466583977	3.0536645643691607	1.039	899.245
99.501	163.37	80.056	19.999	100.33	-0.010359988869684145	2.859078071295364	1.072	899.209
100.001	163.874	80.055	19.998	100.325	-0.012534854541438989	3.0134827688265045	1.053	899.204
100.5	164.378	80.054	19.998	100.328	-0.011709370481852943	2.952878656962583	1.008	899.204
101.0	164.889	80.056	19.998	100.332	-0.013884236153607787	3.145283354493724	1.016	899.202
101.5	165.42	80.054	19.998	100.331	-0.017059101825363854	3.408688052024865	1.042	899.197
102.0	165.922	80.055	19.998	100.327	-0.02023396749711992	3.6280927495560054	1.032	899.213
102.501	166.438	80.056	19.998	100.325	-0.01840918290022131	3.4395062564822085	1.017	899.236
103.001	166.957	80.055	19.998	100.317	-0.020584048571976155	3.5619109540133493	1.034	899.218
103.501	167.449	80.054	19.999	100.312	-0.020758914243732107	3.56131565154449	1.011	899.223
104.001	167.951	80.054	19.998	100.314	-0.02393377991548462	3.820720349075631	0.994	899.189
104.502	168.47	80.055	19.997	100.318	-0.024108995318584903	3.852133856001834	1.021	899.209
105.001	168.993	80.056	19.998	100.319	-0.02828351125899431	4.181529744137913	1.042	899.212
105.501	169.475	80.054	19.997	100.326	-0.030458376930752706	4.552934441669054	1.005	899.188
106.001	169.968	80.055	19.998	100.33	-0.03063324260250866	4.704339139200194	0.975	899.223
106.501	170.494	80.056	19.998	100.33	-0.03680810827426484	5.285743836731335	1.019	899.187
107.001	171.008	80.054	19.997	100.33	-0.032982973946019456	5.124148534262476	1.04	899.184
107.501	171.494	80.057	19.998	100.329	-0.037157839617776744	5.493553231793616	1.0	899.205
108.001	171.996	80.057	19.998	100.325	-0.0373327052895327	5.561957929324757	0.988	899.24
108.501	172.523	80.057	19.997	100.323	-0.042507570961287655	5.902362626855898	1.029	899.225
109.001	173.048	80.055	19.998	100.322	-0.04368243663304483	5.956767324387038	1.052	899.196
109.501	173.543	80.056	19.998	100.322	-0.04285730230479956	5.81417202191818	1.02	899.228
110.0	174.062	80.056	19.998	100.331	-0.044031818245212406	5.831567910054258	1.014	899.222
110.501	174.63	80.056	19.998	100.334	-0.04620703364831158	5.978981416980461	1.087	899.206
111.001	175.118	80.054	19.998	100.334	-0.04638189932006753	6.035386114511601	1.056	899.237
111.501	175.616	80.055	19.999	100.332	-0.048556764991822376	6.2927908120427425	0.986	899.242
112.001	176.13	80.053	20.0	100.327	-0.05073163066358077	6.526195509573883	1.012	899.214
112.501	176.662	80.052	19.999	100.317	-0.05090649633533317	6.497600207105025	1.046	899.242
113.001	177.137	80.054	19.998	100.305	-0.05608136200708813	6.777004904636165	1.007	899.231
113.501	177.651	80.052	19.998	100.294	-0.06125622767884309	7.216409602167306	0.988	899.22
114.001	178.118	80.052	19.997	100.285	-0.06143109335059904	7.158814299698447	0.98	899.212
114.501	178.68	80.054	19.998	100.275	-0.06560595902235633	7.515218997229588	1.029	899.216
115.001	179.213	80.053	19.998	100.269	-0.06478082469411106	7.361623694760728	1.095	899.22
115.501	179.696	80.057	19.998	100.271	-0.06495569036586701	7.346028392291869	1.016	899.256
116.0	180.216	80.055	19.997	100.278	-0.06613020630627986	7.416424280427948	1.004	899.233
116.5	180.724	80.052	19.997	100.284	-0.0703050719780336	7.7778289779590875	1.029	899.24
117.001	181.253	80.053	19.998	100.289	-0.06948028738113621	7.66524248488529	1.037	899.257
117.501	181.739	80.051	19.998	100.288	-0.07365515305288994	7.987647182416431	1.014	899.248
118.001	182.265	80.052	19.996	100.287	-0.07583001872464834	8.163051879947574	1.011	899.257
118.502	182.772	80.054	19.997	100.283	-0.07800523412774751	8.388465386873776	1.033	899.24
119.001	183.286	80.053	19.997	100.278	-0.07917975006816036	8.496861275009854	1.022	899.241
119.501	183.814	80.054	19.997	100.274	-0.07835461573991509	8.517265972540995	1.043	899.227
120.001	184.332	80.054	19.998	100.277	-0.07952948141167226	8.646670670072135	1.045	899.265
120.501	184.81	80.052	19.998	100.281	-0.08270434708342833	8.939075367603277	0.996	899.229
121.001	185.299	80.054	19.997	100.282	-0.08687921275517851	9.244480065134418	0.968	899.221
121.501	185.779	80.052	19.998	100.283	-0.08805407842693569	9.369884762665558	0.969	899.252
122.001	186.317	80.052	19.997	100.287	-0.08922894409869286	9.436289460196699	1.017	899.197
122.502	186.826	80.055	19.997	100.286	-0.09040415950179082	9.4857029671229	1.047	899.261
123.001	187.364	80.054	19.998	100.284	-0.09057867544220244	9.39109885525898	1.047	899.274
123.502	187.847	80.054	19.997	100.286	-0.09075389084530272	9.377512362185184	1.02	899.251
124.001	188.359	80.056	19.997	100.285	-0.09192840678571557	9.48090825032126	0.996	899.266
124.501	188.872	80.054	19.997	100.287	-0.08810327245747018	9.254312947852402	1.026	899.266
125.001	189.388	80.055	19.997	100.284	-0.08827813812922614	9.299717645383543	1.03	899.232
125.501	189.903	80.053	19.998	100.28	-0.08945300380098331	9.423122342914684	1.032	899.225
126.001	190.459	80.051	19.998	100.279	-0.08862786947273804	9.374527040445825	1.07	899.27
126.501	190.94	80.053	19.997	100.278	-0.08980273514449522	9.503931737976966	1.036	899.253
127.001	191.429	80.051	19.997	100.27	-0.08697760081625105	9.175336435508108	0.97	899.258
127.501	191.935	80.054	19.997	100.265	-0.08815246648800823	9.291741133039247	0.995	899.265
128.002	192.461	80.054	19.998	100.261	-0.08732768189110374	9.15215463996545	1.032	899.274
