General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
E (MJ/kg);13,10;20;20,94400;118,65000;0,020000;0,050;99,97;21,0000;0,000;0,00;101,288;0,014;263,177;324,850;326,85;845,750;;;569,800;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,38895;0,00214;0,00824086;25,987284;-0,000109;23,902539;24,049699;0,0000;-0,0026;;;0,00;0,00;0,02;;;;0,0000000;20,94500;0,05000;0,01200;-0,0002250;;;;;;
Initial mass (g);67,80;21;20,94500;122,65000;0,016000;0,050;99,94;21,0000;0,000;0,00;101,288;0,014;263,177;324,850;326,85;845,817;;;570,000;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,27682;0,00208;0,00824086;26,421702;0,000263;24,302107;24,451728;0,0001;0,0064;;;0,00;0,00;-0,02;;;;0,0000000;20,94600;0,05000;-0,00100;-0,0002333;;;;;;
Thickness (mm);5,74;22;20,94600;122,25000;0,011000;0,050;99,97;21,0000;0,000;0,00;101,288;0,014;263,177;324,850;326,75;845,950;;;570,500;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,13847;0,00198;0,00824086;26,378583;-0,000060;24,262447;24,404354;0,0000;-0,0014;;;0,00;0,00;-0,05;;;;0,0000000;20,94600;0,04900;-0,01200;-0,0002265;;;;;;
Surface area (cm²);100;23;20,94600;114,80000;0,003000;0,050;99,96;21,0000;0,000;0,00;101,282;0,014;263,177;324,850;326,75;846,050;;;570,800;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,06695;0,00184;0,00824086;25,562185;0,000018;23,511542;23,649058;0,0000;0,0004;;;0,00;0,00;-0,04;;;;0,0000000;20,94600;0,04900;-0,01000;-0,0001216;;;;;;
Sponsor;;24;20,94600;118,90001;-0,006000;0,050;99,99;21,0000;0,000;0,00;101,284;0,014;263,177;324,750;326,65;846,117;;;571,000;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,28973;0,00180;0,00824086;26,018653;-0,000246;23,924025;24,063996;-0,0001;-0,0059;;;0,00;0,00;-0,04;;;;0,0000000;20,94700;0,05000;-0,01300;-0,0000043;;;;;;
Manufacturer;;25;20,94500;121,80000;-0,003000;0,050;99,93;21,0000;0,000;0,00;101,288;0,014;263,177;324,850;326,75;846,183;;;571,300;593,200;554,600;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,15126;;;;nan;-0,20614;0,00175;0,00839212;26,329988;0,000289;24,217751;24,359397;0,0001;0,0070;;;0,00;0,00;-0,01;;;;0,0015126;20,94500;0,05000;-0,00300;0,0000189;;;;;;
Test start time (s);60;26;20,94600;120,05001;-0,012000;0,050;99,97;21,0000;0,000;0,00;101,288;0,014;263,177;324,750;326,65;846,150;;;571,300;593,100;554,600;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,59878999;;;;nan;-0,42319;0,00168;0,00899091;26,144177;-0,000111;24,039443;24,180089;0,0000;-0,0027;;;0,00;0,00;-0,04;;;;0,0059879;20,94400;0,05000;0,00400;0,0000753;;;;;;
Time to ignition (s);96;27;20,94500;118,87500;-0,002000;0,050;99,98;21,0000;0,000;0,00;101,288;0,014;263,177;324,850;326,75;845,850;;;570,400;593,100;554,600;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,07748;;;;nan;-0,15573;0,00161;0,00906838;26,011912;-0,000172;23,925191;24,065126;0,0000;-0,0041;;;0,00;0,00;-0,01;;;;0,0007748;20,94400;0,05000;0,00700;0,0000098;;;;;;
Time to flameout (s);419;28;20,94500;117,55000;0,002000;0,050;99,94;20,9000;0,000;0,00;101,290;0,014;263,177;324,850;326,75;845,517;;;569,500;593,000;554,600;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,04984;0,00154;0,00906838;25,866539;0,000255;23,791481;23,930633;0,0001;0,0060;;;0,00;0,00;-0,01;;;;0,0000000;20,94600;0,05100;0,01700;-0,0000403;;;;;;
End of test criteria;Mass less ;29;20,94600;122,30000;0,015000;0,050;99,97;20,9000;0,000;0,00;101,284;0,014;263,177;324,850;326,75;845,650;;;570,100;592,900;554,500;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28169;0,00152;0,00906838;26,383976;-0,000037;24,267408;24,409344;0,0000;-0,0009;;;0,00;0,00;-0,04;;;;0,0000000;20,94500;0,05100;0,01900;-0,0002628;;;;;;
