General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
SEA 060s [m²/kg];0,0;150;20,95000;120,57500;0,016000;0,049;100,00;20,1000;-0,130;0,00;101,216;0,009;263,170;327,850;328,95;845,717;;;574,200;590,200;553,300;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,26458;-0,08649;0,13852426;26,077113;-0,000714;24,206665;24,287883;-0,0002;-0,0172;;;0,00;0,00;-0,06;;1,365;1,669;0,0000000;20,74700;0,24200;0,02000;-0,0002870;;;;;;
SEA 120s [m²/kg];0,0;151;20,94800;117,02500;0,021000;0,050;99,97;20,1000;-0,160;0,00;101,210;0,005;263,170;328,150;329,35;845,783;;;574,500;590,100;553,300;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,38866;-0,04073;0,13852426;25,678614;-0,000379;23,858561;23,945809;-0,0001;-0,0090;;;0,00;0,00;0,01;;1,350;1,633;0,0000000;20,66800;0,30600;0,00700;-0,0002422;;;;;;
SEA 180s [m²/kg];0,0;152;20,94700;116,02500;0,016000;0,051;99,97;20,1000;-0,200;0,00;101,210;0,005;263,170;328,650;329,85;845,783;;;574,500;590,100;553,300;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,25922;0,00368;0,13852426;25,549207;-0,000391;23,774497;23,861305;-0,0001;-0,0093;;;0,00;0,00;0,04;;1,335;1,633;0,0000000;20,57600;0,39100;0,00000;-0,0001311;;;;;;
SEA 240s [m²/kg];0,0;153;20,94800;111,97500;0,021000;0,052;99,72;20,1000;-0,230;0,00;101,212;0,009;263,170;329,350;330,65;845,917;;;574,900;590,100;553,300;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,37949;0,04700;0,13852426;25,072645;0,002091;23,380731;23,473019;0,0004;0,0487;;;0,00;0,00;0,01;;1,321;1,598;0,0000000;20,48900;0,45500;-0,00200;-0,0002675;;;;;;
SEA 300s [m²/kg];0,0;154;20,94700;112,95000;0,010000;0,052;98,99;20,1000;-0,270;0,00;101,216;0,009;263,170;330,250;331,85;846,083;;;575,400;590,100;553,300;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,10457;0,04714;0,13852426;25,147230;0,009422;23,514365;23,628288;0,0020;0,2210;;;0,00;0,00;0,04;;1,307;1,598;0,0000000;20,40400;0,53300;-0,00700;-0,0000678;;;;;;
SEA 360s [m²/kg];0,0;155;20,94600;106,67500;0,004000;0,052;98,11;20,1000;-0,340;0,00;101,212;0,009;263,170;331,450;333,25;846,183;;;575,600;590,100;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,49886;0,00000;0,0000;;nan;-0,04463;0,04573;0,13902312;24,394435;0,018328;22,893335;23,017661;0,0037;0,4188;;;0,00;0,00;0,07;;1,296;1,570;0,0049886;20,33600;0,59300;-0,00400;0,0000685;;;;;;
SEA Test [m²/kg];0,0;156;20,94600;110,67501;0,000000;0,055;97,69;20,1000;-0,420;0,00;101,212;0,009;263,170;332,950;335,05;846,450;;;576,300;590,200;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,60364;0,00000;0,0000;;nan;-0,14432;0,17517;0,13962676;24,791552;0,022619;23,371308;23,518717;0,0047;0,5281;;;0,00;0,00;0,07;;1,289;1,570;0,0060364;20,25900;0,65900;-0,00700;0,0000812;;;;;;
Results SPR;;157;20,94500;112,00001;-0,005000;0,068;97,65;20,1000;-0,500;0,00;101,204;0,009;263,170;334,550;337,05;846,717;;;577,100;590,200;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,30404;0,00000;0,0000;;nan;-0,26898;0,73549;0,13993081;24,879804;0,023114;23,567215;23,743326;0,0048;0,5448;;;0,00;0,01;0,10;;1,281;1,547;0,0030404;20,20000;0,70100;-0,00400;0,0000403;;;;;;
SPR max [m²/s];0,000;158;20,94300;108,45000;0,008000;0,092;97,26;20,1000;-0,600;0,00;101,212;0,009;263,170;336,250;339,25;847,017;;;578,000;590,200;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,05280;1,73610;0,13993081;24,420362;0,027082;23,249555;23,456986;0,0056;0,6307;;;0,00;0,02;0,16;;1,270;1,547;0,0000000;20,15200;0,74300;0,01300;-0,0003074;;;;;;
Max at [s];600;159;20,93700;102,50000;0,021000;0,132;96,86;20,1000;-0,710;0,00;101,216;0,009;263,170;338,250;341,55;847,250;;;578,600;590,300;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,35828;3,32125;0,13993081;23,670721;0,031209;22,669898;22,891068;0,0063;0,7092;;;0,00;0,03;0,33;;1,257;1,519;0,0000000;20,11200;0,77100;0,02500;-0,0006165;;;;;;
SPR 060s [m²/s];0,000;160;20,90800;105,87500;0,008000;0,174;96,55;20,1000;-0,830;0,00;101,212;0,009;263,170;340,150;343,95;847,417;;;579,100;590,300;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;5,5313;0,00000;0,0000;;nan;0,05187;5,10963;0,14546210;23,989982;0,034389;23,104718;23,362833;0,0070;0,7976;;;0,00;0,05;1,21;;1,276;1,519;0,0553130;20,07300;0,80500;0,02500;0,0007695;;;;;;
SPR 120s [m²/s];0,000;161;20,86900;105,87500;0,020000;0,242;96,55;20,1000;-1,090;0,00;101,212;0,009;263,170;340,150;343,95;847,550;;;579,500;590,300;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;15,20139;0,00000;0,0000;;nan;0,33917;7,93256;0,16066349;23,989982;0,034389;23,104718;23,362833;0,0070;0,7976;;;0,00;0,07;2,38;;1,379;1,659;0,1520139;20,03900;0,83000;0,01200;0,0021149;;;;;;
SPR 180s [m²/s];0,000;162;20,81900;108,67500;0,007000;0,306;96,53;20,1000;-1,190;0,00;101,212;0,009;263,170;342,150;346,35;847,650;;;579,800;590,300;553,400;307,250;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;32,6378999;0,00000;0,0000;;nan;0,02822;10,69719;0,19330139;24,233994;0,034639;23,476958;23,765144;0,0072;0,8172;;;0,00;0,09;3,92;;1,631;1,659;0,3263790;20,01300;0,85300;0,01400;0,0044931;;;;;;
SPR 240s [m²/s];0,000;163;20,74700;105,57499;0,000000;0,391;96,78;20,1000;-1,300;0,00;101,212;0,009;263,170;344,250;348,75;847,817;;;580,300;590,300;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;56,0939;0,00000;0,0000;;nan;-0,13863;14,01400;0,24939529;23,812885;0,031978;23,210593;23,513999;0,0066;0,7465;;;0,00;0,12;5,99;;2,103;2,410;0,5609390;19,99000;0,87100;0,01100;0,0078605;;;;;;
SPR 300s [m²/s];0,000;164;20,66800;106,12500;-0,002000;0,455;96,41;20,1000;-1,390;0,00;101,216;0,009;263,170;346,250;351,15;848,083;;;581,100;590,300;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;84,51411;0,00000;0,0000;;nan;-0,18611;16,64638;0,33390940;23,805780;0,035824;23,338475;23,668752;0,0074;0,8418;;;0,00;0,15;8,34;;2,848;2,410;0,8451411;19,96900;0,89500;0,01100;0,0118513;;;;;;
SPR 360s [m²/s];0,000;165;20,57600;106,27500;-0,007000;0,533;95,58;20,1000;-1,690;0,00;101,212;0,009;263,170;348,150;353,55;848,183;;;581,400;590,300;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;117,277729;0,00000;0,0000;;nan;-0,30428;19,81944;0,45118714;23,757504;0,044519;23,418954;23,782195;0,0093;1,0511;;;0,00;0,18;11,06;;3,908;4,233;1,1727773;19,94300;0,91100;0,00300;0,0164868;;;;;;
SPR Test [m²/s];0,000;166;20,48900;109,47500;-0,004000;0,593;95,47;20,1000;-1,790;0,00;101,212;0,009;263,170;350,150;355,85;848,250;;;581,700;590,200;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,26;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;150,69798;0,00000;0,0000;;nan;-0,23596;22,55460;0,60188512;24,043565;0,045689;23,837091;24,225129;0,0097;1,0988;;;0,00;0,20;13,81;;5,302;4,233;1,5069798;19,92700;0,92300;0,00900;0,0209431;;;;;;
Results COY;;167;20,40400;108,25000;-0,007000;0,659;95,35;20,1000;-1,910;0,00;101,216;0,009;263,170;352,050;358,15;848,350;;;582,000;590,200;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;180,28957;0,00000;0,0000;;nan;-0,30539;25,09085;0,78217469;23,844062;0,046959;23,767574;24,179397;0,0100;1,1272;;;0,00;0,22;16,23;;7,003;7,301;1,8028957;19,91800;0,92700;0,00800;0,0252765;;;;;;
COY max [kg/kg];0,0000;168;20,33600;106,70000;-0,004000;0,701;94,84;20,1000;-2,010;0,00;101,212;0,009;263,170;353,750;360,25;848,550;;;582,600;590,200;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;203,433080;0,00000;0,0000;;nan;-0,23176;26,56716;0,98560777;23,615788;0,052309;23,653704;24,088330;0,0111;1,2509;;;0,00;0,23;18,09;;8,948;7,301;2,0343308;19,91000;0,93700;0,00900;0,0288079;;;;;;
Max at [s];606;169;20,25900;104,02500;0,013000;0,743;94,56;20,1000;-2,300;0,00;101,212;0,009;263,170;355,550;362,45;848,550;;;582,700;590,100;553,400;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;227,363520;0,00000;0,0000;;nan;0,16636;27,85612;1,21297129;23,258782;0,055226;23,414664;23,869062;0,0116;1,3086;;;0,00;0,25;20,05;;11,103;11,400;2,2736352;19,89200;0,95000;0,02000;0,0327057;;;;;;
COY 060s [kg/kg];0,0000;170;20,20000;109,32500;0,025000;0,771;94,42;20,1000;-2,390;0,00;101,216;0,009;263,170;357,250;364,55;848,483;;;582,700;590,000;553,300;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;254,118129;0,00000;0,0000;;nan;0,45502;29,64160;1,46708942;23,787132;0,056703;24,061050;24,552711;0,0122;1,3821;;;0,00;0,26;22,27;;13,479;11,400;2,5411813;19,87700;0,96200;0,01700;0,0357547;;;;;;
COY 120s [kg/kg];0,0000;171;20,15200;108,92500;0,025000;0,805;94,63;20,1000;-2,510;0,00;101,214;0,009;263,170;358,950;366,65;848,617;;;583,100;590,000;553,300;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;270,40545;0,00000;0,0000;;nan;0,45311;30,91099;1,73749487;23,687284;0,054545;24,074069;24,590492;0,0118;1,3316;;;0,00;0,27;23,59;;16,031;16,270;2,7040545;19,86900;0,96800;0,01400;0,0382164;;;;;;
COY 180s [kg/kg];0,0000;172;20,11200;108,82500;0,012000;0,830;93,84;20,1000;-2,630;0,00;101,214;0,009;263,170;360,550;368,55;848,583;;;583,200;589,900;553,200;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;285,493459;0,00000;0,0000;;nan;0,14539;31,85031;2,02298833;23,623815;0,062881;24,116585;24,651691;0,0136;1,5389;;;0,00;0,28;24,71;;18,697;16,270;2,8549346;19,86600;0,97000;0,00300;0,0404655;;;;;;
COY 240s [kg/kg];0,0000;173;20,07300;105,97500;0,014000;0,853;93,88;20,1000;-2,930;0,00;101,212;0,009;263,170;362,050;370,25;848,550;;;583,200;589,800;553,200;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;295,18841;0,00000;0,0000;;nan;0,18962;32,29136;2,31817673;23,264081;0,062411;23,848151;24,388283;0,0134;1,5111;;;0,00;0,29;25,47;;21,439;21,646;2,9518841;19,86700;0,97100;0,00300;0,0424958;;;;;;
COY 300s [kg/kg];0,0000;174;20,03900;108,42500;0,011000;0,871;93,59;20,1000;-3,020;0,00;101,214;0,009;263,170;363,550;372,15;848,717;;;583,900;589,700;553,100;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;310,888540;0,00000;0,0000;;nan;0,12109;33,32663;2,62906528;23,482866;0,065501;24,172163;24,743971;0,0142;1,6090;;;0,00;0,29;26,71;;24,259;21,646;3,1088854;19,86300;0,97800;-0,00600;0,0443473;;;;;;
COY 360s [kg/kg];0,0000;175;20,01300;108,07500;0,011000;0,895;94,16;20,1000;-3,150;0,00;101,212;0,009;263,170;364,950;373,85;848,850;;;584,400;589,600;553,100;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;318,57877;0,00000;0,0000;;nan;0,12066;34,18088;2,94764405;23,399921;0,059507;24,179540;24,769204;0,0129;1,4632;;;0,00;0,30;27,38;;27,146;27,310;3,1857877;19,84600;0,99100;-0,01000;0,0456113;;;;;;
COY Test [kg/kg];0,0000;176;19,99000;106,60000;0,003000;0,911;93,87;20,1000;-3,290;0,00;101,212;0,009;263,170;366,350;375,55;848,883;;;584,600;589,600;553,000;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;324,599439;0,00000;0,0000;;nan;-0,06559;34,52425;3,27224348;23,195245;0,062521;24,059989;24,664198;0,0135;1,5309;;;0,00;0,31;27,81;;30,049;27,310;3,2459944;19,82900;1,00600;-0,01100;0,0468889;;;;;;
Results CO2Y;;177;19,96900;109,27500;0,009000;0,923;93,87;20,1000;-3,590;0,00;101,214;0,009;263,170;367,650;376,95;849,117;;;585,500;589,500;552,900;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;335,283629;0,00000;0,0000;;nan;0,07409;35,37979;3,60752712;23,442913;0,062569;24,403180;25,020478;0,0137;1,5542;;;0,00;0,31;28,72;;32,984;33,168;3,3528363;19,81200;1,02000;0,00200;0,0479263;;;;;;
CO2Y max [kg/kg];0,0000;178;19,94300;107,92500;0,008000;0,927;92,55;20,1000;-3,690;0,00;101,212;0,009;263,170;368,750;378,35;849,217;;;586,000;589,400;552,800;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;343,1795;0,00000;0,0000;;nan;0,05030;35,26920;3,95070662;23,262880;0,076712;24,288225;24,920542;0,0168;1,8978;;;0,00;0,31;29,25;;35,958;33,168;3,4317950;19,79100;1,03700;0,00900;0,0494423;;;;;;
Max at [s];564;179;19,92700;107,57500;0,009000;0,937;92,42;20,1000;-3,800;0,00;101,214;0,009;263,170;369,850;379,75;848,717;;;584,700;589,300;552,700;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;347,77447;0,00000;0,0000;;nan;0,07329;35,56096;4,29848109;23,190565;0,078095;24,284950;24,935001;0,0171;1,9332;;;0,00;0,31;29,63;;38,941;39,107;3,4777447;19,78200;1,03800;0,00900;0,0502650;;;;;;
CO2Y 060s [kg/kg];0,0000;180;19,91800;109,60000;0,020000;0,950;93,28;20,1000;-3,930;0,00;101,214;0,009;263,170;371,050;381,15;848,317;;;583,700;589,200;552,600;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;352,18448;0,00000;0,0000;;nan;0,33043;36,36186;4,65066557;23,369936;0,068836;24,552189;25,220501;0,0152;1,7235;;;0,00;0,32;30,12;;41,918;39,107;3,5218448;19,78700;1,03400;0,01800;0,0505139;;;;;;
CO2Y 120s [kg/kg];0,0000;181;19,91000;106,80000;0,017000;0,962;93,04;20,1000;-4,030;0,00;101,214;0,009;263,170;372,250;382,55;848,217;;;583,700;589,000;552,500;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;349,622199;0,00000;0,0000;;nan;0,25669;36,31486;5,00028777;23,032269;0,071387;24,275697;24,947395;0,0156;1,7680;;;0,00;0,32;29,92;;44,853;44,983;3,4962220;19,78600;1,04000;0,01600;0,0508833;;;;;;
CO2Y 180s [kg/kg];0,0000;182;19,89200;103,37500;0,014000;0,968;92,33;20,1000;-4,350;0,00;101,214;0,009;263,170;373,250;383,85;848,417;;;584,500;588,900;552,400;307,350;;;;;0,00;0,00;0,00;3,00;2,27;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;350,47961;0,00000;0,0000;;nan;0,18445;35,91497;5,35076738;22,629570;0,079133;23,915331;24,594507;0,0171;1,9321;;;0,00;0,32;29,90;;47,733;44,983;3,5047961;19,77200;1,05600;0,02200;0,0519211;;;;;;
CO2Y 240s [kg/kg];0,0000;183;19,87700;102,02500;0,003000;0,970;92,55;20,1000;-4,480;0,00;101,214;0,009;263,170;374,450;385,25;848,517;;;585,000;588,800;552,300;307,350;;;;;0,00;0,00;0,00;3,00;2,28;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;354,30447;0,00000;0,0000;;nan;-0,06347;35,70023;5,70507185;22,445270;0,076759;23,796821;24,483176;0,0165;1,8657;;;0,00;0,32;30,08;;50,587;50,729;3,5430447;19,75700;1,06500;0,01900;0,0529233;;;;;;
CO2Y 300s [kg/kg];0,0000;184;19,86900;107,82500;0,003000;0,971;93,26;20,1000;-4,600;0,00;101,214;0,009;263,170;375,450;386,65;848,517;;;585,300;588,600;552,200;307,350;;;;;0,00;0,00;0,00;3,00;2,28;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;366,928259;0,00000;0,0000;;nan;-0,06516;36,69201;6,07200011;23,043696;0,069095;24,496527;25,227279;0,0153;1,7304;;;0,00;0,32;31,11;;53,470;50,729;3,6692826;19,74300;1,07600;0,02500;0,0533882;;;;;;
CO2Y 360s [kg/kg];0,0000;185;19,86600;107,52500;-0,006000;0,978;92,53;20,1000;-4,710;0,00;101,214;0,009;263,170;376,150;387,55;848,450;;;585,400;588,400;552,100;307,350;;;;;0,00;0,00;0,00;3,00;2,28;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;367,4638;0,00000;0,0000;;nan;-0,27152;36,88538;6,43946391;22,990194;0,076905;24,485218;25,227293;0,0170;1,9260;;;0,00;0,33;31,13;;56,367;56,452;3,6746380;19,73300;1,08200;0,00400;0,0535909;;;;;;
CO2Y Test [kg/kg];0,0000;186;19,86700;95,20000;-0,010000;0,991;93,86;20,1000;-5,030;0,00;101,214;0,009;263,170;377,150;388,75;848,183;;;584,900;588,200;552,000;307,350;;;;;0,00;0,00;0,00;3,00;2,28;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;344,23495;0,00000;0,0000;;nan;-0,34140;35,14713;6,78369886;21,603786;0,062706;23,069823;23,779381;0,0131;1,4803;;;0,00;0,31;29,22;;59,116;56,452;3,4423495;19,73300;1,08400;0,00800;0,0534237;;;;;;
