General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Grid?;N;10;20,95300;122,15000;-0,005000;0,050;99,96;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,55;845,450;;;571,300;593,500;552,100;304,650;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,96100999;;;;nan;-0,28495;0,03350;0,00334352;26,618899;0,000049;24,023736;24,159400;0,0000;0,0012;;;0,00;0,00;0,04;;;;0,0096101;20,95200;0,05000;0,01400;0,0001200;;;;;;
Non-scrubbed?;;11;20,95400;122,47500;0,007000;0,050;99,95;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,55;845,417;;;571,200;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,03103;0,03075;0,00334352;26,654288;0,000106;24,055675;24,191519;0,0000;0,0025;;;0,00;0,00;0,00;;;;0,0000000;20,95200;0,05000;0,00900;-0,0000920;;;;;;
Substrate used? {Y/N};;12;20,95400;119,25000;0,010000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,55;845,483;;;571,400;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,10095;0,02801;0,00334352;26,301018;0,000004;23,736847;23,870890;0,0000;0,0001;;;0,00;0,00;0,00;;;;0,0000000;20,95200;0,05000;0,01800;-0,0001298;;;;;;
Substrate;;13;20,95400;122,62500;0,005000;0,051;99,96;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,65;845,417;;;571,200;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,02852;0,06922;0,00334352;26,670605;0,000032;24,070401;24,213880;0,0000;0,0008;;;0,00;0,00;0,00;;;;0,0000000;20,95300;0,05000;0,02100;-0,0000780;;;;;;
Additional preparation details;;14;20,95300;118,22500;0,009000;0,050;99,99;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,65;845,450;;;571,200;593,600;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,07143;0,02115;0,00334352;26,187740;-0,000205;23,634612;23,775493;0,0000;-0,0048;;;0,00;0,00;0,03;;;;0,0000000;20,95400;0,04900;0,01700;-0,0000595;;;;;;
;;15;20,95300;120,52500;0,015000;0,050;99,98;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,55;845,250;;;570,700;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,21603;0,02002;0,00334352;26,441246;-0,000146;23,863403;23,998162;0,0000;-0,0035;;;0,00;0,00;0,03;;;;0,0000000;20,95400;0,04900;0,01200;-0,0001388;;;;;;
Specimen;;16;20,95400;119,52500;-0,003000;0,051;99,94;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,55;845,183;;;570,500;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,13863;;;;nan;-0,24267;0,06164;0,00348215;26,331326;0,000267;23,764200;23,898398;0,0001;0,0063;;;0,00;0,00;0,00;;;;0,0013863;20,95400;0,04900;-0,00700;0,0000173;;;;;;
Sample description;;17;20,95300;121,97500;0,005000;0,051;99,95;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,55;844,883;;;569,600;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,03097;0,05881;0,00348215;26,599824;0,000171;24,006521;24,142088;0,0000;0,0041;;;0,00;0,00;0,03;;;;0,0000000;20,95200;0,04900;-0,01600;-0,0000258;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95300;121,30000;-0,008000;0,051;99,97;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,65;844,783;;;569,300;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,0936;;;;nan;-0,35526;0,05556;0,00457574;26,526122;-0,000076;23,940004;24,082705;0,0000;-0,0018;;;0,00;0,00;0,03;;;;0,0109360;20,95200;0,04900;-0,01100;0,0001368;;;;;;
Specimen number;R2;19;20,95400;122,27500;0,002000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,177;318,750;320,65;844,617;;;568,900;593,400;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,08637;0,00922;0,00457574;26,632516;-0,000091;24,036026;24,179299;0,0000;-0,0022;;;0,00;0,00;0,00;;;;0,0000000;20,95300;0,05000;0,00000;-0,0000369;;;;;;
E (MJ/kg);13,10;20;20,95400;121,45000;0,004000;0,050;99,95;21,2000;0,000;0,00;101,240;0,009;263,183;318,750;320,65;844,650;;;568,900;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,03153;0,00875;0,00457574;26,542518;0,000165;23,954802;24,097591;0,0000;0,0039;;;0,00;0,00;0,00;;;;0,0000000;20,95300;0,05000;-0,00100;-0,0000617;;;;;;
Initial mass (g);67,96;21;20,95200;123,49999;0,014000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,750;320,65;844,683;;;569,100;593,400;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,22460;0,00842;0,00457574;26,765590;-0,000052;24,156126;24,300116;0,0000;-0,0013;;;0,00;0,00;0,06;;;;0,0000000;20,95400;0,05000;0,01200;-0,0000725;;;;;;
Thickness (mm);5,71;22;20,95300;118,22500;0,009000;0,050;99,99;21,2000;0,000;0,00;101,240;0,009;263,183;318,750;320,65;844,817;;;569,500;593,400;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,08522;0,00788;0,00457574;26,187740;-0,000193;23,634612;23,775493;0,0000;-0,0046;;;0,00;0,00;0,02;;;;0,0000000;20,95400;0,05000;0,03500;-0,0000715;;;;;;
Surface area (cm²);100;23;20,95200;122,22500;0,018000;0,050;99,98;21,2000;0,000;0,00;101,240;0,009;263,183;318,750;320,65;844,917;;;569,700;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,31221;0,00768;0,00457574;26,627071;-0,000155;24,031111;24,174355;0,0000;-0,0037;;;0,00;0,00;0,06;;;;0,0000000;20,95400;0,04900;0,01900;-0,0001294;;;;;;
Sponsor;;24;20,95200;119,67500;0,021000;0,050;99,99;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;844,983;;;569,900;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,37224;0,00729;0,00457574;26,343711;-0,000229;23,782837;23,917097;0,0000;-0,0054;;;0,00;0,00;0,05;;;;0,0000000;20,95400;0,05000;0,02100;-0,0001713;;;;;;
Manufacturer;;25;20,95200;120,12500;0,017000;0,049;99,98;21,3000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,017;;;570,000;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,71;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,25730;-0,03689;0,00457574;26,393194;-0,000127;23,827509;23,962022;0,0000;-0,0030;;;0,00;0,00;0,05;;;;0,0000000;20,95400;0,05000;0,00500;-0,0001121;;;;;;
Test start time (s);60;26;20,95300;122,27500;0,012000;0,049;99,99;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,75;845,017;;;570,000;593,500;552,100;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,12204;-0,03584;0,00457574;26,628339;-0,000205;24,039796;24,183047;0,0000;-0,0049;;;0,00;0,00;0,02;;;;0,0000000;20,95400;0,04900;-0,00600;-0,0001108;;;;;;
Time to ignition (s);88;27;20,95400;118,00000;-0,007000;0,049;99,99;21,2000;0,000;0,00;101,236;0,009;263,183;318,850;320,75;844,983;;;569,800;593,500;552,200;304,550;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,55437;;;;nan;-0,36266;-0,03395;0,00513012;26,158705;-0,000166;23,615815;23,756540;0,0000;-0,0039;;;0,00;0,00;-0,02;;;;0,0055437;20,95400;0,04900;0,00500;0,0000701;;;;;;
Time to flameout (s);413;28;20,95400;123,62500;-0,016000;0,049;99,97;21,3000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,250;;;570,600;593,500;552,200;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,49333;;;;nan;-0,59057;-0,03355;0,00662345;26,774933;-0,000001;24,172139;24,308598;0,0000;0,0000;;;-0,01;0,00;-0,02;;;;0,0149333;20,95500;0,04900;-0,01000;0,0001846;;;;;;
End of test criteria;Mass less ;29;20,95400;126,02500;-0,011000;0,049;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,283;;;570,700;593,500;552,200;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,99614;;;;nan;-0,44602;-0,03274;0,00761959;27,033582;0,000030;24,405645;24,543422;0,0000;0,0007;;;0,00;0,00;-0,01;;;;0,0099614;20,95500;0,04900;0,00500;0,0001219;;;;;;
User EOT time (s);453;30;20,95200;120,67500;0,000000;0,050;99,98;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,450;;;571,200;593,500;552,200;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,69715;;;;nan;-0,14136;0,01329;0,00831674;26,453546;-0,000100;23,881994;24,016815;0,0000;-0,0024;;;0,00;0,00;0,05;;;;0,0069715;20,95500;0,05000;0,00500;0,0000879;;;;;;
MLR EOT mass (g/m²);;31;20,95200;121,42500;-0,001000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,417;;;571,100;593,500;552,200;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,77887;;;;nan;-0,16302;0,01291;0,00909561;26,535624;-0,000018;23,956093;24,091332;0,0000;-0,0004;;;0,00;0,00;0,05;;;;0,0077887;20,95400;0,04900;0,02000;0,0000978;;;;;;
MLR time period (s);;32;20,95300;119,10000;0,012000;0,050;99,98;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,75;845,450;;;571,200;593,500;552,200;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,17404;0,01240;0,00909561;26,280349;-0,000068;23,725634;23,867013;0,0000;-0,0016;;;0,00;0,00;0,01;;;;0,0000000;20,95400;0,04900;0,01300;-0,0001279;;;;;;
Truncate graphs at EOT;;33;20,95300;120,00000;0,035000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,250;;;570,600;593,500;552,200;304,550;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,75720;0,01208;0,00909561;26,379458;-0,000003;23,815108;23,949551;0,0000;-0,0001;;;0,01;0,00;0,01;;;;0,0000000;20,95200;0,04900;0,01800;-0,0004200;;;;;;
Smooth data?;;34;20,95400;128,97500;0,019000;0,049;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,65;845,217;;;570,500;593,500;552,200;304,650;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,33840;-0,03380;0,00909561;27,348154;-0,000004;24,689637;24,829017;0,0000;-0,0001;;;0,00;0,00;-0,02;;;;0,0000000;20,95300;0,04900;0,00400;-0,0002643;;;;;;
Correct O2 for pressure?;;35;20,95400;119,85000;0,021000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,850;320,75;845,217;;;570,500;593,500;552,200;304,550;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,36831;0,01267;0,00909561;26,362965;-0,000004;23,800219;23,942042;0,0000;-0,0001;;;0,00;0,00;-0,02;;;;0,0000000;20,95300;0,04900;0,00500;-0,0003013;;;;;;
;;36;20,95400;123,87500;0,005000;0,050;99,97;21,2000;0,000;0,00;101,240;0,009;263,183;318,950;320,75;845,283;;;570,700;593,500;552,200;304,550;;;;;0,00;0,00;0,00;3,00;1,72;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,05204;0,01253;0,00909561;26,797791;0,000010;24,200362;24,336937;0,0000;0,0002;;;0,00;0,00;-0,02;;;;0,0000000;20,95300;0,05000;-0,00200;-0,0000977;;;;;;
