General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
;;15;20,95300;109,87500;0,000000;0,050;99,98;20,9000;0,000;0,00;101,088;0,009;263,158;362,150;365,55;1134,783;;;843,300;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,19023;0,00773;0,00097309;23,629934;0,000024;24,229880;24,457359;0,0000;0,0006;;;0,00;0,00;-0,01;;;;0,0000000;20,95300;0,04800;-0,00100;-0,0000137;;;;;;
Specimen;;16;20,95200;105,60000;0,005000;0,049;99,99;20,9000;0,000;0,00;101,088;0,009;263,158;362,150;365,55;1135,283;;;844,800;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,06582;-0,03091;0,00097309;23,165678;-0,000048;23,753837;23,976847;0,0000;-0,0011;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,04900;0,01500;-0,0000074;;;;;;
Sample description;;17;20,95200;106,57501;0,009000;0,050;100,01;20,9000;0,000;0,00;101,088;0,009;263,158;362,150;365,55;1135,083;;;844,200;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,02602;0,00902;0,00097309;23,272376;-0,000268;23,863244;24,087282;-0,0001;-0,0064;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,04900;0,00900;-0,0000731;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95100;109,15000;0,016000;0,049;99,96;20,9000;0,000;0,00;101,084;0,009;263,158;362,050;365,45;1135,017;;;844,000;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,18214;-0,03028;0,00097309;23,555096;0,000187;24,146473;24,373232;0,0000;0,0045;;;0,00;0,00;0,05;;;;0,0000000;20,95500;0,04900;0,01800;-0,0000947;;;;;;
Specimen number;R3;19;20,95500;105,55000;0,017000;0,048;100,00;20,9000;0,000;0,00;101,088;0,009;263,158;362,050;365,55;1135,183;;;844,500;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19230;-0,06669;0,00097309;23,163390;-0,000204;23,744933;23,974479;0,0000;-0,0049;;;0,00;0,00;-0,07;;;;0,0000000;20,95500;0,04900;0,01600;-0,0003302;;;;;;
E (MJ/kg);13,10;20;20,95400;110,72500;0,017000;0,048;99,96;20,9000;0,000;0,00;101,090;0,009;263,158;362,050;365,45;1134,850;;;843,500;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,18758;-0,06505;0,00097309;23,724434;0,000228;24,320063;24,548452;0,0000;0,0056;;;0,00;0,00;-0,04;;;;0,0000000;20,95400;0,04900;0,01300;-0,0002672;;;;;;
Initial mass (g);69,16;21;20,95200;108,87501;0,019000;0,049;99,99;20,9000;0,000;0,00;101,086;0,009;263,158;361,950;365,45;1134,750;;;843,200;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,22277;-0,02239;0,00097309;23,528655;-0,000097;24,112706;24,345872;0,0000;-0,0024;;;0,00;0,00;0,02;;;;0,0000000;20,95500;0,04900;0,00500;-0,0001870;;;;;;
Thickness (mm);5,82;22;20,95200;109,25000;0,019000;0,049;99,99;20,9000;0,000;0,00;101,090;0,009;263,158;361,850;365,35;1134,783;;;843,300;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,21348;-0,02146;0,00097309;23,572396;-0,000103;24,150859;24,384458;0,0000;-0,0025;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,04900;-0,00400;-0,0001893;;;;;;
Surface area (cm²);100;23;20,95300;108,80000;0,008000;0,049;100,00;20,9000;0,000;0,00;101,098;0,009;263,158;361,850;365,25;1134,583;;;842,700;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,04537;-0,02052;0,00097309;23,523799;-0,000125;24,101068;24,327526;0,0000;-0,0030;;;0,00;0,00;-0,01;;;;0,0000000;20,95300;0,04800;0,00200;-0,0001100;;;;;;
Sponsor;;24;20,95400;109,15000;0,004000;0,049;100,00;20,9000;0,000;0,00;101,086;0,009;263,158;361,750;365,25;1134,717;;;843,100;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,13469;-0,01974;0,00097309;23,564861;-0,000165;24,136467;24,369992;0,0000;-0,0040;;;0,00;0,00;-0,04;;;;0,0000000;20,95200;0,04800;-0,01100;-0,0001170;;;;;;
Manufacturer;;25;20,95300;109,95000;-0,002000;0,049;99,99;20,9000;0,000;0,00;101,086;0,009;263,158;361,750;365,25;1134,683;;;843,000;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,13944;;;;nan;-0,26728;-0,01905;0,00111253;23,651062;-0,000088;24,224758;24,459137;0,0000;-0,0021;;;0,00;0,00;-0,01;;;;0,0013944;20,95300;0,04800;-0,00700;0,0000195;;;;;;
Test start time (s);60;26;20,95300;106,85000;-0,001000;0,048;100,01;20,9000;0,000;0,00;101,090;0,009;263,158;361,750;365,15;1135,017;;;844,000;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,13509;;;;nan;-0,23114;-0,05725;0,00124761;23,315261;-0,000230;23,880812;24,105262;0,0000;-0,0055;;;0,00;0,00;-0,01;;;;0,0013509;20,95300;0,04900;0,00500;0,0000193;;;;;;
Time to ignition (s);13;27;20,95300;109,37500;0,015000;0,049;100,00;20,9000;0,000;0,00;101,086;0,009;263,158;361,750;365,15;1135,050;;;844,000;888,700;853,000;317,350;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,14072;-0,01617;0,00124761;23,589138;-0,000159;24,161332;24,388419;0,0000;-0,0038;;;0,00;0,00;-0,01;;;;0,0000000;20,95500;0,04800;0,00000;-0,0001957;;;;;;
Time to flameout (s);182;28;20,95300;109,27500;0,009000;0,049;100,01;20,9000;0,000;0,00;101,088;0,009;263,158;361,650;365,05;1134,883;;;843,500;888,700;853,000;317,350;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,00164;-0,01561;0,00124761;23,581611;-0,000244;24,146946;24,373960;-0,0001;-0,0059;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,04900;0,01300;-0,0001196;;;;;;
End of test criteria;Mass less ;29;20,95300;107,82500;0,018000;0,049;100,01;20,9000;0,000;0,00;101,088;0,009;263,158;361,550;365,05;1134,883;;;843,500;888,700;853,000;317,350;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,20352;-0,01499;0,00124761;23,427872;-0,000205;23,982888;24,215055;0,0000;-0,0049;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,04900;0,01600;-0,0002333;;;;;;
User EOT time (s);230;30;20,95300;103,57500;0,016000;0,049;100,02;20,9000;0,000;0,00;101,086;0,009;263,158;361,650;365,05;1134,850;;;843,400;888,700;853,000;317,350;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,14830;-0,01421;0,00124761;22,958342;-0,000339;23,508735;23,729749;-0,0001;-0,0080;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,04800;0,01300;-0,0002078;;;;;;
MLR EOT mass (g/m²);;31;20,95500;107,02500;0,013000;0,049;100,00;20,9000;0,000;0,00;101,090;0,009;263,158;361,550;365,05;1135,083;;;844,100;888,700;853,000;317,350;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,58;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,07780;-0,01400;0,00124761;23,340799;-0,000092;23,893752;24,125057;0,0000;-0,0022;;;0,00;0,00;-0,06;;;;0,0000000;20,95500;0,04900;0,01100;-0,0002867;;;;;;
MLR time period (s);;32;20,95500;106,70000;0,005000;0,049;100,03;20,9000;0,000;0,00;101,088;0,009;263,158;361,650;365,05;1134,817;;;843,200;888,700;853,100;317,350;;;;;0,00;0,00;0,00;3,00;1,93;0,000;0,000;0,58;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,10658;-0,01355;0,00124761;23,302111;-0,000366;23,860745;24,085068;-0,0001;-0,0087;;;0,00;0,00;-0,06;;;;0,0000000;20,95200;0,04900;0,00200;-0,0001817;;;;;;
Truncate graphs at EOT;;33;20,95400;106,92500;-0,004000;0,049;100,01;20,8000;0,000;0,00;101,088;0,009;263,158;361,550;365,05;1134,817;;;843,100;888,800;853,100;317,350;;;;;0,00;0,00;0,00;3,00;1,94;0,000;0,000;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,30864;-0,01317;0,00124761;23,329893;-0,000220;23,882588;24,113784;0,0000;-0,0053;;;0,00;0,00;-0,03;;;;0,0000000;20,95100;0,04900;-0,00200;-0,0000057;;;;;;
Smooth data?;;34;20,95500;110,40000;0,002000;0,048;100,03;20,8000;0,000;0,00;101,088;0,009;263,158;361,450;364,75;1134,917;;;843,400;888,800;853,100;317,350;;;;;0,00;0,00;0,00;3,00;1,94;0,000;0,000;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,16564;-0,05319;0,00124761;23,709245;-0,000403;24,264214;24,485743;-0,0001;-0,0098;;;0,00;0,00;-0,06;;;;0,0000000;20,95100;0,05100;0,00200;-0,0001264;;;;;;
Correct O2 for pressure?;;35;20,95300;109,75000;-0,011000;0,048;100,03;20,8000;0,000;0,00;101,088;0,009;263,158;361,150;364,45;1135,483;;;845,000;888,800;853,200;317,350;;;;;0,00;0,00;0,00;3,00;1,94;0,000;0,000;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,12671;;;;nan;-0,46138;-0,05158;0,00237433;23,649162;-0,000394;24,182636;24,403605;-0,0001;-0,0095;;;0,00;0,00;0,00;;;;0,0112671;20,95100;0,05200;-0,00100;0,0001584;;;;;;
;;36;20,95300;109,42500;-0,007000;0,048;100,01;20,8000;0,000;0,00;101,088;0,009;263,158;360,850;364,05;1135,383;;;844,600;888,800;853,300;317,350;;;;;0,00;0,00;0,00;3,00;1,94;0,000;0,000;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,76186999;;;;nan;-0,35591;-0,05013;0,0031362;23,623934;-0,000195;24,136772;24,350816;0,0000;-0,0047;;;0,00;0,00;0,00;;;;0,0076187;20,95000;0,05200;-0,00700;0,0001073;;;;;;
