General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Initial mass (g);74,22;21;20,95500;115,52500;0,014000;0,049;99,92;24,1000;0,000;0,00;101,132;0,009;263,203;334,950;339,25;1135,483;;;842,600;896,300;848,100;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,14837;0,01197;0,00232866;25,194474;0,000182;23,893817;24,200560;0,0000;0,0044;;;0,00;0,00;-0,03;;;;0,0000000;20,95400;0,04900;0,03400;-0,0002329;;;;;;
Thickness (mm);6,19;22;20,95500;116,45000;0,014000;0,048;99,96;24,1000;0,000;0,00;101,132;0,009;263,203;334,950;339,25;1135,550;;;842,800;896,300;848,100;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,14249;-0,03064;0,00232866;25,295138;-0,000181;23,989285;24,297253;0,0000;-0,0044;;;0,00;0,00;-0,03;;;;0,0000000;20,95400;0,04900;0,00500;-0,0002183;;;;;;
Surface area (cm²);100;23;20,95400;118,50000;-0,009000;0,049;99,94;24,1000;0,000;0,00;101,132;0,009;263,203;335,050;339,35;1135,283;;;841,900;896,300;848,200;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,92348;;;;nan;-0,42706;0,01296;0,00325214;25,513007;0,000008;24,203131;24,513751;0,0000;0,0002;;;0,00;0,00;0,01;;;;0,0092348;20,95400;0,05000;0,00900;0,0001203;;;;;;
Sponsor;;24;20,95400;116,22500;0,010000;0,049;99,96;24,1000;0,000;0,00;101,132;0,009;263,203;335,050;339,35;1135,050;;;841,200;896,300;848,200;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,05684;0,01232;0,00325214;25,266917;-0,000252;23,969675;24,277299;-0,0001;-0,0061;;;0,00;0,00;0,01;;;;0,0000000;20,95400;0,05000;0,00500;-0,0001205;;;;;;
Manufacturer;;25;20,95500;113,75000;0,007000;0,049;99,92;24,1000;0,000;0,00;101,130;0,009;263,203;335,150;339,35;1135,283;;;841,700;896,400;848,300;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,01834;0,01172;0,00325214;24,992712;0,000186;23,716624;24,013834;0,0000;0,0044;;;0,00;0,00;-0,03;;;;0,0000000;20,95400;0,05000;0,00600;-0,0001408;;;;;;
Test start time (s);60;26;20,95500;116,70000;0,003000;0,049;99,95;24,1000;0,000;0,00;101,132;0,009;263,203;335,150;339,35;1135,550;;;842,500;896,400;848,300;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,11582;0,01143;0,00325214;25,314719;-0,000112;24,022190;24,323229;0,0000;-0,0027;;;0,00;0,00;-0,02;;;;0,0000000;20,95300;0,05000;0,00100;-0,0000882;;;;;;
Time to ignition (s);13;27;20,95500;116,00000;0,003000;0,049;99,95;24,1000;0,000;0,00;101,130;0,009;263,203;335,150;339,45;1135,617;;;842,600;896,400;848,400;304,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,11135;0,01099;0,00325214;25,238682;-0,000090;23,950036;24,257317;0,0000;-0,0022;;;0,00;0,00;-0,02;;;;0,0000000;20,95500;0,05000;0,00900;-0,0000864;;;;;;
Time to flameout (s);197;28;20,95400;116,42499;0,003000;0,050;99,96;24,1000;0,000;0,00;101,124;0,009;263,203;335,150;339,45;1135,617;;;842,600;896,400;848,400;304,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,10771;0,05314;0,00325214;25,284874;-0,000182;23,993869;24,301713;0,0000;-0,0044;;;0,00;0,00;0,01;;;;0,0000000;20,95400;0,05000;0,00200;-0,0000387;;;;;;
End of test criteria;Mass less ;29;20,95400;117,77500;0,011000;0,050;99,95;24,1000;0,000;0,00;101,132;0,009;263,203;335,250;339,45;1135,650;;;842,600;896,500;848,400;304,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,09279;0,05166;0,00325214;25,427254;-0,000106;24,136179;24,438557;0,0000;-0,0026;;;0,00;0,00;0,01;;;;0,0000000;20,95400;0,04900;0,02200;-0,0001399;;;;;;
User EOT time (s);242;30;20,95300;117,80000;0,026000;0,049;99,95;24,0000;0,000;0,00;101,132;0,009;263,203;335,250;339,45;1135,783;;;842,900;896,500;848,500;304,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,46055;0,00714;0,00325214;25,429953;-0,000100;24,138740;24,441150;0,0000;-0,0024;;;0,00;0,00;0,04;;;;0,0000000;20,95700;0,04900;0,00500;-0,0002592;;;;;;
