DPT_zero_span_1,DPT_zero_span_2,DPT_calib_V_1,DPT_calib_V_2,O2Inlet_zero_span_1,O2Inlet_zero_span_2,O2Inlet_calib_V_1,O2Inlet_calib_V_2,CO_zero_span_1,CO_zero_span_2,CO_calib_V_1,CO_calib_V_2,CO2_zero_span_1,CO2_zero_span_2,CO2_calib_V_1,CO2_calib_V_2,O2_zero_span_1,O2_zero_span_2,O2_calib_V_1,O2_calib_V_2,desired_heat_flux,heatflux_calib,,,,,,,,,,,,,,,,,
0,500,0.0235492211,5.02635,0,20.95,2.25158433,4.13856064,0,412,2.00341937,8.5155951,0,2556,2.0530689,5.94240805,0,NaN,2.25310682,2.57879588,15,0.1017,,,used for flow rate calc,,,,,,,,,,,,,,
timestamp,test_time,v_data_1,v_data_2,v_data_3,v_data_4,v_data_5,v_data_6,v_data_7,v_data_8,v_data_9,v_data_10,v_data_11,v_data_12,v_data_13,temperatures_1,temperatures_2,temperatures_3,mass,MLR,smooth_MLR,conc_O2,conc_CO,conc_CO2,DPT_Pa,RH_ambient,T_cold_trap,T_duct,T_ambient,Q_OC__O2_CO2_CO,IR_Controller,O2_inlet,conc_CO2_hood,conc_CO_hood,conc_O2_hood,Extra TCs_1,Extra TCs_2,Extra TCs_3,Extra TCs_4
20260513151751.2,41.1990020424128,9.7944004,0.095721038,2.0027275,2.735837,-0.000362513,-0.000711523,0.002445249,1.2005542,0.4076661,0.000636167,-0.030993078,4.1313854,0.58480549,289.51,287.746,288.6,0.02,NaN,NaN,NaN,-0.0437719207554323,448.702259251421,7.21314120726094,11.6961098,289.51,287.746,288.6,-0.0170700525954388+0i,0.000636167,20.870337485318,433.562652532622,23.3422158000294,20.8683288427784,9.9E+037,536.533,-9.9E+037,378.579
20260513151753.2,43.2069975882769,9.7952092,0.10711487,2.0030008,2.7356621,-0.000363384,-0.000709672,0.002399295,1.2005869,0.43452347,0.000633554,-0.065026471,4.1310356,0.62543088,289.532,287.776,288.586,0.01,NaN,NaN,NaN,-0.0264812939866772,448.587318285164,8.35188653248507,12.5086176,289.532,287.776,288.586,-0.0276051463444754+0i,0.000633554,20.8664538594552,433.837931201699,22.9867195394663,20.8691257775653,1510.92,606.689,-9.9E+037,-9.9E+037
20260513151755.2,45.2180005609989,9.7953185,0.10904526,2.0029789,2.7360884,-0.00036284,-0.000709889,0.002443616,1.2006088,0.40806112,0.000635187,-0.026916684,4.1315165,0.65765054,289.513,287.768,288.54,0.03,NaN,NaN,NaN,-0.0278668217080025,448.86747456827,8.54481746111026,13.1530108,289.513,287.768,288.54,-0.0158180552121099+0i,0.000635187,20.8717930123352,432.190012987261,22.5492623330556,20.8681515967357,1169.022,586.14,-9.9E+037,-9.9E+037
20260513151757.3,47.3080012947321,9.7951436,0.11246541,2.0030991,2.7359244,-0.000365126,-0.000707058,0.002422925,1.2006853,0.11981375,0.000638781,0.032420497,4.1313854,0.7616709,289.526,287.738,288.565,0.07,NaN,NaN,NaN,-0.0202622357672624,448.759696875497,8.88664098668667,15.233418,289.526,287.738,288.565,-0.0223004197838967+0i,0.000638781,20.870337485318,432.876958393278,22.4263209142837,20.8686534800676,1404.307,692.385,499.181,148.312
20260513151759.4,49.336002767086,9.7946081,0.11913282,2.0030008,2.7360884,-0.00036382,-0.000712721,0.002440022,1.20074,0.30005227,0.000635732,0.1186385,4.1315275,0.7366141,289.537,287.752,288.619,0.01,NaN,NaN,NaN,-0.0264812939866772,448.86747456827,9.55300871695095,14.732282,289.537,287.752,288.619,-0.0296221748948077+0i,0.000635732,20.8719151389346,433.42626446476,21.7701351046676,20.8691846802715,-9.9E+037,661.372,495.336,-9.9E+037
20260513151801.5,51.4880027621984,9.794313,0.07327061,2.0030991,2.7357058,-0.00036284,-0.000709672,0.002409531,1.2006307,0.10556885,0.00063987,-0.016598076,4.1310684,0.70734078,289.543,287.744,288.556,-0.09,NaN,NaN,NaN,-0.0202622357672624,448.616037097202,4.9693552769189,14.1468156,289.543,287.744,288.556,-0.024383623398226+0i,0.00063987,20.8668180187699,432.6016797242,21.701751275989,20.8695389033948,-9.9E+037,-9.9E+037,601.433,253.194
20260513151803.6,53.6250058561563,9.7952311,0.03906601,2.0028587,2.7350173,-0.000361642,-0.000711958,0.002378169,1.2006088,0.44084497,0.000637692,-0.047678796,4.1310138,0.56756843,289.515,287.746,288.404,-0.04,NaN,NaN,NaN,-0.0354714076487426,448.16356794187,1.5508101947059,11.3513686,289.515,287.746,288.404,-0.0141405222692329+0i,0.000637692,20.8662118267399,433.288625130217,21.6744724809419,20.8696276608972,690.116,166.864,-9.9E+037,396.34
20260513151805.6,55.6250050663948,9.7951436,0.11776988,2.0027603,2.7353779,-0.000364582,-0.000711958,0.00240866,1.2006088,0.20582016,0.000634643,0.1117586,4.131593,0.75789853,289.534,287.736,288.301,-0.04,NaN,NaN,NaN,-0.0416967924787883,448.400547429761,9.41679102008119,15.1579706,289.534,287.736,288.301,-0.0158204504970941+0i,0.000634643,20.8726423473223,432.052373652718,21.6607708030651,20.8681220109016,902.664,661.312,549.199,349.329
20260513151807.7,57.672006636858,9.7949578,0.138811,2.0027494,2.7344052,-0.000364582,-0.000710325,0.002418787,1.2005542,0.24246804,0.000635514,0.11598886,4.1311449,0.72201236,289.545,287.741,288.309,-0.01,NaN,NaN,NaN,-0.0423863930341355,447.761307419025,11.5197250494297,14.4402472,289.545,287.741,288.309,-0.0203596182928205+0i,0.000635514,20.8676673537571,432.190012987261,22.4810030650851,20.8682992569443,-9.9E+037,425.671,613.181,171.765
20260513151809.9,59.9220044910908,9.79463,0.12684893,2.0027057,2.7340008,-0.000368067,-0.000707276,0.002382634,1.2003684,0.32971845,0.000637147,-0.00742909,4.1316914,0.70084249,289.513,287.749,288.26,0.06,NaN,NaN,NaN,-0.0451511218661693,447.495543400992,10.3241877365657,14.0168498,289.513,287.749,288.26,-0.0178412074502583+0i,0.000637147,20.8737348252666,432.6016797242,23.3148124442741,20.8681515967357,-9.9E+037,-9.9E+037,714.556,486.291
20260513151812,61.9530033320189,9.794466,0.11544229,2.0027822,2.7341648,-0.000365017,-0.000706731,0.002407789,1.2004558,0.34165322,0.000637256,0.16366484,4.1316586,0.69870477,289.534,287.736,288.295,0,NaN,NaN,NaN,-0.0403112647574631,447.603321093765,9.18416232838744,13.9740954,289.534,287.736,288.295,-0.014596555483698+0i,0.000637256,20.8733706659518,425.186673392557,23.3831962729532,20.8681220109016,-9.9E+037,243.675,436.641,-9.9E+037
20260513151814,63.9880053699017,9.7946081,0.11823365,2.0031319,2.7333997,-0.00036382,-0.000707167,0.002385248,1.2005104,0.14246334,0.000639543,-0.14477127,4.1312214,0.63402759,289.534,287.763,288.249,-0.04,NaN,NaN,NaN,-0.0181871074905899,447.100511869735,9.46314205628036,12.6805518,289.534,287.763,288.249,-0.00523989483019744+0i,0.000639543,20.8685166887442,423.675143245976,23.3694945950756,20.867384247783,-9.9E+037,-9.9E+037,559.607,523.574
20260513151816.1,66.1319989711046,9.7946081,0.12726905,2.0030991,2.7334434,-0.000359464,-0.000713047,0.002375665,1.2006307,0.18216011,0.000614061,-0.000440482,4.1311012,0.54996034,289.537,287.752,288.214,-0.06,NaN,NaN,NaN,-0.0202622357672624,447.129230681773,10.366176216476,10.9992068,289.537,287.752,288.214,-0.00687812506857579+0i,0.000614061,20.8671821780847,438.781685845022,23.3148124442741,20.8671776848682,997.102,-9.9E+037,-9.9E+037,648.149
20260513151818.2,68.1360013782978,9.7945862,0.11369523,2.003121,2.7334106,-0.000362513,-0.0007039,0.002438933,1.2006635,0.41627918,0.000636058,-0.028673387,4.1313307,0.62219429,289.513,287.763,288.184,0.01,NaN,NaN,NaN,-0.0188767080459371,447.107675143219,9.00955413617554,12.4438858,289.513,287.763,288.184,-0.00503461879142874+0i,0.000636058,20.8697301830461,451.689752891467,23.3422158000294,20.8667938759108,9.9E+037,320.242,-9.9E+037,159.602
20260513151820.3,70.2380016446114,9.7944769,0.10649166,2.0027275,2.7332248,-0.000364473,-0.000707711,0.002443724,1.2006962,0.43732247,0.000614933,0.078216308,4.1312542,0.63918474,289.521,287.738,288.249,0.05,NaN,NaN,NaN,-0.0437719207554323,446.985570903479,8.28960042240964,12.7836948,289.521,287.738,288.249,-0.012317627189191+0i,0.000614933,20.868880848059,455.672534726368,23.3148124442741,20.8673546619488,9.9E+037,853.614,123.299,303.837
20260513151822.3,72.3320055752993,9.7941709,0.0789592,2.0028259,2.7336292,-0.000360117,-0.000710869,0.002409531,1.2006635,0.12843449,0.000638781,0.017044223,4.1316696,0.74338627,289.551,287.711,288.29,0.04,NaN,NaN,NaN,-0.0375465359254292,447.251334921513,5.53789580565557,14.8677254,289.551,287.711,288.29,0.00344155664678818+0i,0.000638781,20.8734927925513,455.534895391825,23.3285141221518,20.8659377694556,-9.9E+037,568.299,643.26,180.393
20260513151824.5,74.4680028408766,9.7946409,0.10504607,2.0027494,2.7331265,-0.000358048,-0.000710869,0.002394286,1.2006088,0.13215121,0.000636058,0.011857961,4.1310903,0.74174287,289.537,287.706,288.314,0.07,NaN,NaN,NaN,-0.0423863930341355,446.92097000592,8.14512235263551,14.8348574,289.537,287.706,288.314,0.0142443636515627+0i,0.000636058,20.867061161727,456.084201463307,23.3694945950756,20.8650523461284,-9.9E+037,207.074,603.341,223.082
20260513151826.5,76.4840047806501,9.7952967,0.070537649,2.0031429,2.7333997,-0.000360988,-0.00071283,0.002407898,1.2006416,0.12106211,0.000621031,0.043162612,4.1312433,0.67250327,289.559,287.7,288.399,-0.1,NaN,NaN,NaN,-0.0174911803246403,447.100511869735,4.69621217960363,13.4500654,289.559,287.7,288.399,0.000580690823332182+0i,0.000621031,20.8687598317013,455.397256057291,22.5629640109328,20.8662624067448,-9.9E+037,-9.9E+037,595.461,608.989
20260513151828.5,78.4999966621399,9.7953185,0.090889019,2.0030773,2.7334871,-0.000358702,-0.000714572,0.002411491,1.2007072,0.29513955,0.000633663,0.11668688,4.1313963,0.70211268,289.54,287.733,288.298,0,NaN,NaN,NaN,-0.0216414368779709,447.157949493811,6.73020982406658,14.0422536,289.54,287.733,288.298,-0.00282565428108251+0i,0.000633663,20.8704585016756,444.686413296762,22.5082818601313,20.8668234617449,-9.9E+037,271.384,463.268,264.664
20260513151830.6,80.613000690937,9.7952967,0.085872859,2.0031538,2.7339243,-0.000361315,-0.0007088,0.002351272,1.2006197,0.34908559,0.000640523,-0.00677435,4.1310575,0.75523702,289.518,287.711,288.317,0.04,NaN,NaN,NaN,-0.0168015797692647,447.445269050399,6.22887464986213,15.1047404,289.518,287.711,288.317,-0.010358292120775+0i,0.000640523,20.8666970024123,444.274746559823,23.3148124442741,20.8675612248636,-9.9E+037,-9.9E+037,648.773,168.658
