DPT_zero_span_1,DPT_zero_span_2,DPT_calib_V_1,DPT_calib_V_2,O2Inlet_zero_span_1,O2Inlet_zero_span_2,O2Inlet_calib_V_1,O2Inlet_calib_V_2,CO_zero_span_1,CO_zero_span_2,CO_calib_V_1,CO_calib_V_2,CO2_zero_span_1,CO2_zero_span_2,CO2_calib_V_1,CO2_calib_V_2,O2_zero_span_1,O2_zero_span_2,O2_calib_V_1,O2_calib_V_2,desired_heat_flux,heatflux_calib
0,500,0.0235492211,5.02635,0,20.95,2.25158433,4.13856064,0,412,2.00341937,8.5155951,0,2556,2.0530689,5.94240805,0,NaN,2.25310682,2.57879588,15,0.1017
timestamp,test_time,v_data_1,v_data_2,v_data_3,v_data_4,v_data_5,v_data_6,v_data_7,v_data_8,v_data_9,v_data_10,v_data_11,v_data_12,v_data_13,temperatures_1,temperatures_2,temperatures_3,mass,MLR,smooth_MLR,conc_O2,conc_CO,conc_CO2,DPT_Pa,RH_ambient,T_cold_trap,T_duct,T_ambient,Q_OC__O2_CO2_CO,IR_Controller,O2_inlet,conc_CO2_hood,conc_CO_hood,conc_O2_hood,Extra TCs_1,Extra TCs_2,Extra TCs_3,Extra TCs_4
20260513180614.9,43.0660005658865,9.7923894,0.12192091,2.0030554,2.7287984,-0.000409882,-0.000715443,0.002378496,1.2046746,0.15504303,0.000636385,-0.062398284,4.1310466,0.61562291,289.112,287.655,289.036,-0.27,NaN,NaN,NaN,-0.0230269645992962,444.076624688284,9.83166162791226,12.3124582,289.112,287.655,289.036,-0.03360031373526+0i,0.000636385,20.8665759860546,425.460700794957,19.41880262021,20.8688304571482,1244.187,-9.9e+37,269.028,678.905
20260513180617,45.1950073242188,9.7920287,0.11239012,2.0030991,2.7289951,-0.000411298,-0.000713918,0.002380021,1.2047074,0.37568978,0.000636167,0.11449471,4.1312761,0.73122015,289.133,287.677,289.03,-0.37,NaN,NaN,NaN,-0.0202622357672624,444.205892201507,8.87911620173845,14.624403,289.133,287.677,289.03,-0.0331806207451241+0i,0.000636167,20.8691239910161,425.323061460419,21.6744724809419,20.8688600429823,1197.653,474.68,170.409,105.391
20260513180619,47.1790038049221,9.7924222,0.10544554,2.0031101,2.7288749,-0.000409774,-0.000714027,0.00237414,1.2046746,0.25102218,0.000636058,-0.11933036,4.1318335,0.62347758,289.133,287.688,289.011,-0.29,NaN,NaN,NaN,-0.0195663086013269,444.126899038877,8.1850469886199,12.4695516,289.133,287.688,289.011,-0.0381608594666197+0i,0.000636058,20.8753124788832,423.125837174498,21.6607708030651,20.8694504148545,-9.9e+37,-9.9e+37,171.952,372.333
20260513180621.2,49.3200000375509,9.7923348,0.11982684,2.0027603,2.7292355,-0.000409882,-0.000712612,0.002367498,1.2046527,0.13843125,0.000635078,0.020762354,4.1316477,0.7291359,289.133,287.671,289.014,-0.3,NaN,NaN,NaN,-0.0416967924787883,444.363878526768,9.6223718627839,14.582718,289.133,287.671,289.014,-0.0350326919599541+0i,0.000635078,20.8732496495942,424.362088651997,21.6744724809419,20.8689192146506,9.9e+37,355.151,360.983,387.894
20260513180623.3,51.4570031315088,9.7921708,0.0862017,2.0029352,2.7292246,-0.000407705,-0.000714463,0.002435013,1.2047402,0.3176527,0.000635078,-0.11216094,4.1315275,0.55941694,289.114,287.68,288.992,-3.08,NaN,NaN,NaN,-0.0306315505400363,444.356715253284,6.26174033995586,11.1883388,289.114,287.68,288.992,-0.0278709105454102+0i,0.000635078,20.8719151389346,423.950421915058,22.4945801822546,20.8688600429823,1124.431,-9.9e+37,-9.9e+37,670.653
20260513180625.4,53.5310011357069,9.7917336,0.11169064,2.0030008,2.72917,-0.000410645,-0.000714027,0.002396246,1.2047183,0.21266326,0.000625713,0.00557836,4.1309919,0.56096866,289.152,287.69,288.992,-2.89,NaN,NaN,NaN,-0.0264812939866772,444.320833167764,8.80920736157934,11.2193732,289.152,287.69,288.992,-0.0269304468069745+0i,0.000625713,20.8659686837828,424.911394723475,22.521983538009,20.8683288427784,9.9e+37,335.051,-9.9e+37,555.617
20260513180627.6,55.7610031217337,9.7917227,0.12652047,2.0027166,2.7289951,-0.000413585,-0.000715116,0.002438062,1.2047511,0.44782228,0.00063192,-0.00315416,4.1314182,0.68806858,289.122,287.699,288.992,-2.48,NaN,NaN,NaN,-0.0444615213108221,444.205892201507,10.291360125142,13.7613716,289.122,287.699,288.992,-0.00906569025986224+0i,0.00063192,20.8707016446327,424.499727986536,22.5082818601313,20.8667938759108,9.9e+37,351.429,323.625,531.876
20260513180629.7,57.8510038554668,9.7920834,0.096100974,2.0027166,2.7290935,-0.000415654,-0.00071577,0.002426846,1.2046527,0.21196269,0.000638236,0.11789779,4.131593,0.72817234,289.152,287.696,289.079,-3.07,NaN,NaN,NaN,-0.0444615213108221,444.270558817171,7.25111353684105,14.5634468,289.152,287.696,289.079,-0.00646224223939112+0i,0.000638236,20.8726423473223,424.637367321075,22.7953942920158,20.8666758015364,1204.835,541.241,409.379,302.009
20260513180631.7,59.8360061645508,9.7923675,0.081736028,2.0030336,2.7287984,-0.000412605,-0.000713918,0.002396137,1.2045981,0.12367779,0.000632791,0.054259614,4.1310356,0.65920445,289.141,287.734,289.095,-2.8,NaN,NaN,NaN,-0.0244061657100048,444.076624688284,5.81542314711114,13.184089,289.141,287.734,289.095,-0.0260947220107749+0i,0.000632791,20.8664538594552,424.499727986536,22.4810030650851,20.868771554442,-9.9e+37,-9.9e+37,635.524,582.203
20260513180633.7,61.8280090391636,9.792302,0.1035039,2.0028696,2.7287437,-0.000413694,-0.000713483,0.002422925,1.204762,0.45250147,0.000635405,-0.06358753,4.130981,0.63910508,289.122,287.723,289.115,-9.93,NaN,NaN,NaN,-0.0347818070933954,444.040676884658,7.99099168981716,12.7821016,289.122,287.723,289.115,-0.0126335457670177+0i,0.000635405,20.8658476674251,428.344870486899,21.6880495981118,20.8671480990341,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
