General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Edge frame?;N;9;20,93900;0,05100;0,018000;113,525;100,13;-0,0400;0,000;101,014;30,200;0,000;339,250;342,350;24,90;1129,150;263,183;0,000;831,900;879,900;856,200;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,488;24,099;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,4309;0,00000;0,0000;0,00000000;0,00000000;-0,00194;Infinity;0,0014;24,643105;-0,000775;23,670943;23,887243;-0,0002;-0,0162;0,00;0,00;0,00;0,00;0,02;;0,080;0,160;0,0043109;20,94000;0,05100;-0,00400;0,0000582;;73,40;9,00;;;
Grid?;N;10;20,94000;0,05100;0,013000;116,975;100,15;-0,0400;0,000;101,022;30,200;0,000;339,250;342,250;24,90;1128,650;263,183;0,000;830,700;879,800;856,000;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,517;24,107;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;-0,00021;Infinity;0,0014;25,014752;-0,000956;24,027928;24,240408;-0,0002;-0,0203;0,00;0,00;0,00;0,00;0,04;;0,094;0,160;0,0000000;20,93900;0,05600;0,00400;-0,0000459;;73,40;10,00;;;
Non-scrubbed?;;11;20,93800;0,05200;0,000000;117,400;100,11;-0,0400;0,000;101,022;30,200;0,000;339,250;342,250;24,90;1128,383;263,183;0,000;830,100;879,700;855,900;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,482;24,094;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;5,5228;0,00000;0,0000;0,00000000;0,00000000;-0,00396;Infinity;0,0070;25,060153;-0,000581;24,071538;24,284403;-0,0001;-0,0124;0,00;0,00;0,00;0,01;0,43;;0,336;0,672;0,0552501;20,92500;0,07800;-0,01300;0,0007365;;73,40;11,00;;;
Substrate used? {Y/N};;12;20,93900;0,05000;-0,001000;116,750;100,11;-0,0400;0,000;101,022;30,200;0,000;339,150;342,250;24,90;1128,117;263,183;0,000;829,600;879,600;855,700;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,477;24,110;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;20,6255;0,00000;0,0000;-0,00167847;-0,00167847;-0,00109;-24,88857;0,0276;24,994366;-0,000550;24,001270;24,220653;-0,0001;-0,0117;0,00;0,00;0,00;0,04;1,90;;1,398;0,672;0,2063373;20,87200;0,15800;0,00000;0,0027627;;73,40;12,00;;;
Substrate;;13;20,93900;0,05100;0,008000;121,425;100,10;-0,0400;0,000;101,014;30,200;0,000;339,050;342,150;24,90;1128,017;263,183;0,000;829,500;879,500;855,600;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,502;24,099;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;64,0126;0,00000;0,0000;0,00842285;0,00842285;-0,00246;10,98480;0,0916;25,493636;-0,000421;24,473484;24,697250;-0,0001;-0,0091;0,00;0,00;0,00;0,09;5,29;;4,545;5,918;0,6403824;20,75300;0,28600;-0,00600;0,0084107;;73,40;13,00;;;
Additional preparation details;;14;20,93900;0,05100;-0,004000;120,025;100,11;-0,0602;0,000;101,022;30,200;0,000;339,050;342,050;24,90;1128,083;263,183;0,000;829,800;879,500;855,500;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,538;24,107;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;138,1482;48,73010;-4,3237;0,02836100;0,02836100;-0,00066;6,38762;0,2297;25,346242;-0,000569;24,331988;24,547284;-0,0001;-0,0123;0,00;0,00;0,00;0,18;11,22;;11,441;5,918;1,3820345;20,54000;0,51600;0,00200;0,0182771;;73,38;14,00;;;
;;15;20,94100;0,05100;0,002000;110,050;99,96;-0,1001;0,000;101,022;30,200;0,000;339,350;342,450;24,90;1128,117;263,190;0,000;830,000;879,500;855,400;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,513;24,120;0,62;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;234,3562;58,61487;4,8339;0,03999837;0,03999837;0,00087;6,32032;0,4641;24,259436;0,000937;23,309278;23,522211;0,0002;0,0193;0,00;0,02;0,00;0,25;18,28;;23,095;25,020;2,3444996;20,25900;0,73000;0,00900;0,0324431;;73,34;15,00;;;
Specimen;;16;20,94100;0,05100;0,007000;105,375;96,34;-0,1802;0,000;101,024;30,200;0,000;340,250;343,450;24,90;1128,283;263,190;0,000;830,500;879,600;855,300;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,502;24,102;0,62;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;326,5158;14,25682;33,3767;0,22911580;0,22911580;0,00106;1,47712;0,7906;23,707148;0,037815;22,839034;23,053832;0,0076;0,7644;0,01;0,78;0,00;0,34;25,28;;39,179;25,020;3,2664639;19,97600;0,98200;0,01000;0,0463211;;73,26;16,00;;;
Sample description;PMMA_DE_6mm_q75_R8;17;20,94100;0,05100;0,027000;96,625;94,66;-0,5200;0,000;101,022;30,200;0,000;342,350;345,850;24,90;1128,683;263,190;0,000;831,800;879,600;855,200;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,502;24,115;0,62;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;397,4881;15,05326;40,7870;0,26416016;0,26416016;0,00540;1,44979;1,1881;22,631805;0,055423;21,937634;22,161912;0,0108;1,0770;0,02;1,86;0,01;0,38;30,49;;58,168;59,244;3,9764714;19,72200;1,15500;0,03200;0,0591498;;72,92;17,00;;;
Material name/ID;PMMA_DE_6mm;18;20,94000;0,05000;0,015000;96,425;92,81;-0,6702;0,000;101,016;30,200;0,000;345,450;349,650;24,90;1129,083;263,190;0,000;832,900;879,700;855,200;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,521;24,107;0,62;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;451,6959;35,19632;114,4241;0,12838745;0,12838745;0,00478;3,35538;1,6398;22,506700;0,075162;22,013916;22,281562;0,0147;1,4685;0,03;3,33;0,00;0,43;34,57;;78,525;59,244;4,5187660;19,55100;1,30000;0,02900;0,0676493;;72,77;18,00;;;
Specimen number;R8;19;20,94000;0,05100;0,013000;95,575;90,46;-0,8501;0,000;101,022;30,200;0,000;349,150;354,450;24,90;1129,383;263,190;0,000;833,800;879,700;855,200;319,950;;;;;0,00;0,00;0,00;3,00;1,83;15,519;24,118;0,62;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;508,0163;15,44025;60,1223;0,32915243;0,32915243;0,00355;1,45564;2,1478;22,288237;0,100857;22,033731;22,368197;0,0198;1,9781;0,05;5,31;0,00;0,48;38,80;;99,648;100,666;5,0821953;19,36600;1,45400;0,02300;0,0769033;;72,59;19,00;;;
E (MJ/kg);13,10;20;20,94100;0,05600;-0,004000;96,150;89,04;-1,2802;0,000;101,016;30,200;0,000;353,150;359,650;24,90;1129,717;263,190;0,000;834,800;879,700;855,200;319,950;;;;;0,00;0,00;0,00;3,00;1,83;15,519;24,112;0,62;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;561,1337;17,63510;72,7421;0,31831868;0,31831868;0,00119;1,61868;2,7090;22,228217;0,116619;22,226143;22,635233;0,0232;2,3146;0,08;7,62;0,00;0,52;42,62;;121,394;100,666;5,6135812;19,20600;1,56400;0,01100;0,0852463;;72,16;20,00;;;
Initial mass (g);73,44;21;20,94000;0,07800;0,004000;95,700;87,79;-1,4501;0,000;101,014;30,200;0,000;356,850;364,750;24,90;1130,050;263,190;0,000;835,800;879,800;855,100;319,950;;;;;0,00;0,00;0,00;3,00;1,83;15,519;24,118;0,62;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;600,4744;42,65577;185,6677;0,14082845;0,14082845;0,00196;3,91889;3,3094;22,060874;0,130832;22,289929;22,783387;0,0261;2,6137;0,10;10,24;0,00;0,55;45,67;;143,271;143,864;6,0071457;19,06800;1,68400;0,01500;0,0919795;;71,99;21,00;;;
Thickness (mm);6,19;22;20,93900;0,15800;-0,013000;98,925;87,76;-1,6501;0,000;101,016;30,200;0,000;360,550;369,550;24,90;1130,317;263,190;0,000;836,600;879,800;855,100;319,950;;;;;0,00;0,00;0,00;3,00;1,83;15,517;24,110;0,62;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;648,8251;17,98664;74,3924;0,36087036;0,36087036;0,00060;1,61977;3,9583;22,314126;0,131079;22,779577;23,348197;0,0268;2,6835;0,13;12,92;0,00;0,58;49,18;;165,152;143,864;6,4908459;18,94700;1,76100;0,00800;0,0983219;;71,79;22,00;;;
Surface area (cm²);100,04;23;20,92500;0,28600;0,000000;98,275;86,45;-2,1201;0,000;101,016;30,200;0,000;364,450;374,750;24,90;1130,550;263,190;0,000;837,400;879,800;855,000;320,050;;;;;0,00;0,00;0,00;3,00;1,83;15,498;24,112;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;673,7011;19,35158;86,3902;0,34827677;0,34827677;-0,00155;1,74066;4,6320;22,121376;0,146130;22,827081;23,472214;0,0301;3,0076;0,16;15,93;0,00;0,61;51,03;;186,722;186,753;6,7397062;18,85400;1,84000;-0,00300;0,1030306;;71,32;23,00;;;
Sponsor;;24;20,87200;0,51600;-0,006000;96,525;86,87;-2,3101;0,000;101,016;30,300;0,000;368,550;380,050;24,90;1130,583;263,190;0,000;837,500;879,800;855,000;319,950;;;;;0,00;0,00;0,00;3,00;1,83;15,549;24,107;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;689,6795;35,39023;149,1623;0,19495646;0,19495646;0,00174;3,16389;5,3216;21,801245;0,141312;22,749821;23,459692;0,0291;2,9069;0,19;18,83;0,00;0,62;52,29;;207,345;186,753;6,8995535;18,77100;1,89800;0,01400;0,1070693;;71,13;24,00;;;
Manufacturer;;25;20,75300;0,73000;0,002000;97,325;85,53;-2,5500;0,000;101,016;30,300;0,000;372,550;385,550;24,90;1130,617;263,190;0,000;837,600;879,800;855,000;320,050;;;;;0,00;0,00;0,00;3,00;1,83;15,557;24,118;0,62;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;712,0341;35,16840;161,4354;0,20254517;0,20254517;0,00501;3,15012;6,0337;21,773564;0,156825;22,967534;23,768978;0,0327;3,2685;0,22;22,10;0,01;0,64;54,11;;227,086;227,242;7,1231888;18,69300;1,96400;0,03100;0,1107237;;70,89;25,00;;;
Test start time (s);60;26;20,54000;0,98200;0,009000;101,125;86,30;-2,7501;0,000;101,020;30,300;0,000;376,750;390,850;24,90;1130,483;263,190;0,000;837,200;879,700;855,100;320,050;;;;;0,00;0,00;0,00;3,00;1,83;15,526;24,118;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;742,3587;21,52490;91,8358;0,34502157;0,34502157;0,00702;1,91370;6,7760;22,070503;0,147891;23,543214;24,424327;0,0317;3,1673;0,25;25,27;0,01;0,66;56,41;;246,321;227,242;7,4265560;18,62900;2,00400;0,04100;0,1139248;;70,69;26,00;;;
Time to ignition (s);13;27;20,25900;1,15500;0,010000;98,800;85,71;-3,2101;0,000;101,016;30,300;0,000;380,650;395,950;24,90;1130,517;263,190;0,000;837,400;879,700;855,000;320,050;;;;;0,00;0,00;0,00;3,00;1,83;15,540;24,139;0,62;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;742,8714;21,23549;94,4166;0,34996541;0,34996541;0,00480;1,90276;7,5189;21,703269;0,154815;23,391133;24,331325;0,0330;3,3029;0,29;28,57;0,00;0,67;56,48;;264,702;264,295;7,4316854;18,58700;2,05400;0,03000;0,1159559;;70,23;27,00;;;
Time to flameout (s);213;28;19,97600;1,30000;0,032000;97,575;86,84;-3,4501;0,000;101,016;30,300;0,000;384,750;401,150;24,90;1130,717;263,190;0,000;837,900;879,800;855,000;320,050;;;;;0,00;0,00;0,00;3,00;1,83;15,555;24,126;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;750,9079;19,98830;80,5393;0,37582397;0,37582397;0,00512;1,78552;8,2698;21,453076;0,141612;23,370525;24,366696;0,0303;3,0256;0,32;31,60;0,01;0,67;57,09;;281,923;264,295;7,5120829;18,53400;2,09300;0,03200;0,1186101;;69,99;28,00;;;
End of test criteria;User end of test;29;19,72200;1,45400;0,029000;95,525;85,67;-3,9501;0,000;101,016;30,200;0,000;388,750;406,350;24,90;1130,817;263,190;0,000;838,200;879,800;855,000;320,050;;;;;0,00;0,00;0,00;3,00;1,83;15,563;24,142;0,62;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;755,7957;20,20427;88,4292;0,37422689;0,37422689;0,00430;1,79532;9,0256;21,117034;0,155275;23,243611;24,295926;0,0331;3,3079;0,35;34,91;0,00;0,67;57,41;;298,179;297,746;7,5609806;18,48200;2,12800;0,02800;0,1213155;;69,49;29,00;;;
User EOT time (s);323;30;19,55100;1,56400;0,023000;99,650;85,73;-4,1602;0,000;101,020;30,200;0,000;392,450;411,050;24,90;1130,883;263,190;0,000;838,400;879,800;855,000;320,050;;;;;0,00;0,00;0,00;3,00;1,84;15,576;24,118;0,62;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;781,9258;44,07726;190,7665;0,17746989;0,17746989;0,00418;3,91691;9,8075;21,466244;0,154483;23,852872;24,983368;0,0339;3,3842;0,38;38,29;0,00;0,70;59,40;;313,869;297,746;7,8223858;18,43800;2,16500;0,02700;0,1234957;;69,28;30,00;;;
MLR EOT mass (g/m²);;31;19,36600;1,68400;0,011000;97,325;86,27;-4,4000;0,000;101,020;30,200;0,000;396,250;415,950;24,90;1130,717;263,190;0,000;838,100;879,700;854,900;320,050;;;;;0,00;0,00;0,00;3,00;1,84;15,570;24,120;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;780,9129;19,09675;79,0688;0,40908813;0,40908813;0,00281;1,68942;10,5884;21,112379;0,148302;23,686818;24,864434;0,0323;3,2333;0,42;41,52;0,00;0,69;59,27;;328,951;328,107;7,8122531;18,40200;2,18800;0,02000;0,1254275;;69,04;31,00;;;
MLR time period (s);;32;19,20600;1,76100;0,015000;95,250;86,34;-4,9200;0,000;101,016;30,200;0,000;399,950;420,850;24,90;1130,750;263,190;0,000;838,200;879,700;854,900;320,050;;;;;0,00;0,00;0,00;3,00;1,84;15,544;24,142;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;777,9313;20,47651;84,3200;0,38006592;0,38006592;-0,00017;1,81156;11,3664;20,789270;0,147478;23,542100;24,772329;0,0320;3,2034;0,45;44,73;0,00;0,69;58,98;;343,028;328,107;7,7824246;18,37500;2,21300;0,00400;0,1269086;;68,52;32,00;;;
Truncate graphs at EOT;;33;19,06800;1,84000;0,008000;95,850;86,29;-5,1201;0,000;101,016;30,200;0,000;403,650;425,550;24,90;1130,883;263,183;0,000;838,600;879,700;854,900;320,050;;;;;0,00;0,00;0,00;3,00;1,84;15,570;24,120;0,62;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;784,7099;45,72011;189,0826;0,17170207;0,17170207;0,00239;4,04298;12,1511;20,758845;0,147971;23,725120;25,012324;0,0325;3,2453;0,48;47,97;0,00;0,69;59,56;;356,310;355,665;7,8502373;18,34600;2,23400;0,01800;0,1282207;;68,32;33,00;;;
